pt,eta,phi,m
659741,604499,-0.423699,2.14238
637118,621127,-0.216395,-0.0511092
145815,40132.9,-1.96103,1.96655
484601,33659.1,-3.35897,-3.00365
619736,319849,1.2776,-1.28253
317268,211386,-0.960599,1.69121
340164,338264,0.0578668,-0.0567574
432686,267217,-1.06109,0.412274
951676,741913,0.732335,1.4638
95883.6,73674.7,-0.748459,2.80072
289428,282424,0.135253,-1.651
1.16939e+06,123281,2.93994,1.49102
138428,101488,0.810343,2.18804
73856.4,72651.9,0.0058451,-0.805051
2.04296e+06,1.18831e+06,-1.13654,-0.774387
367620,356723,-0.237889,2.66863
106825,37521.8,1.70527,-2.7894
3.07998e+06,750024,-2.09049,-0.791117
494441,492881,0.0151027,-2.86642
216423,166453,-0.751142,0.163972
214127,94654.5,-1.45291,1.65831
59979.5,33482.1,-1.16425,-2.70968
443131,357918,0.669134,3.10935
699640,241009,1.72636,2.20631
31073.4,30775.6,-0.0079856,2.21299
670315,411060,1.06781,-1.27129
166658,122126,0.823317,0.601431
455449,91467.2,2.28786,1.92969
701674,628836,-0.470639,0.101822
715858,653962,0.412217,-2.40638
300370,87354,-1.90442,1.24689
1.47058e+06,290708,-2.30352,1.8812
308641,285977,0.387655,-2.52094
597882,576233,0.255735,0.700331
707303,435748,1.06185,-2.82993
542146,415940,0.753175,-1.31956
272761,270380,-0.0731878,-1.0977
97036.4,92994.8,-0.141133,-0.466724
313887,233644,0.793024,2.87453
552236,202542,-1.66022,1.66009
170439,143456,-0.589325,-2.97369
85411.3,64143,0.770319,1.85075
1.10328e+06,54652.9,-3.69749,-0.643228
35547.3,33920.3,-0.118132,-0.853091
669707,621698,0.353747,-2.06787
715627,708162,0.0237875,2.56035
345625,272227,0.706699,2.78153
2.17669e+06,1.01388e+06,-1.39398,2.87488
330239,321794,-0.120541,-1.5234
89428.8,88157.1,0.0130881,-0.432969
182671,53557.6,1.89607,2.71929
419305,51635.4,2.78319,-2.4895
592077,422969,0.862721,1.26872
99962.9,98173.9,0.166288,-0.225646
84688,49485.7,1.12546,0.0692695
92056.9,30693.2,-1.75899,0.193232
956368,463174,-1.34372,-1.29695
685419,581798,0.571973,-1.16589
968432,832542,-0.537516,2.79167
475757,472332,-0.111839,2.95567
176706,163842,0.382186,-2.31749
64630,58939,0.398385,-1.05884
712626,584874,-0.648516,-1.47046
740383,271791,1.65745,2.53282
137216,103906,-0.775898,-3.03852
582504,424756,0.83285,3.08652
717998,592175,0.637129,2.53084
232548,148606,1.00317,-1.85901
71088.9,68316.2,0.223985,0.677404
498326,491274,0.144753,-0.270643
447671,438160,0.192887,2.09888
200351,25280.7,2.75879,0.625494
1.10498e+06,932732,0.590704,-2.02743
268821,221662,0.624013,1.181
187370,107637,1.15017,-2.97273
934614,885620,0.329407,-2.72764
157739,139337,0.457408,-0.474483
335138,91018,-1.97638,-3.0927
511716,484055,0.329204,-0.258296
369813,279340,0.783145,1.97157
1.19072e+06,919927,0.748969,0.598941
857833,633814,-0.812518,-1.73981
67548.7,63965,0.320333,-1.6316
60316.7,56052.8,0.351803,-0.318948
241259,44429.6,2.37534,-1.3038
710981,531803,-0.793912,-1.29823
1.22555e+06,192434,2.53824,2.2828
95299.8,90462.6,0.271041,1.69556
57585.8,41621.8,-0.837724,-1.98208
377083,322771,-0.56969,0.470605
377909,222977,-1.09907,2.18014
143005,63529.9,1.44939,-1.7621
149818,48210.7,-1.79873,-1.6682
639584,27475.2,-3.84017,-0.0715226
657352,622767,0.321188,2.72621
215597,74326.3,-1.72463,2.50528
1.45558e+06,338397,2.13788,0.881201
668837,241408,1.67626,-0.946012
405299,308903,0.756781,-0.854935
141599,113446,-0.657638,1.91393
77289.5,74210.8,0.157592,2.22384
781752,59927.6,-3.25992,-0.516345
1.57112e+06,32380.7,-4.57501,-2.54319
709783,615901,-0.536118,2.05236
689355,312214,1.42883,-0.714373
261753,244775,0.350261,-3.05091
1.06411e+06,453912,1.49543,-0.940136
289325,153185,1.24598,0.257967
645243,563205,-0.5271,-1.48011
872994,562642,1.00524,-1.47871
975453,280325,-1.91833,2.52376
264298,228229,0.508023,2.71184
302580,57564.1,-2.34262,1.01055
467471,452161,0.25349,-0.530416
158918,87525,1.19962,-1.89725
700033,683158,-0.132609,-2.28841
310814,74093.5,2.11197,-1.49103
464758,455423,0.185026,-0.896743
502929,393302,0.722995,-2.15475
1.17886e+06,338824,-1.91844,2.22774
413186,312829,0.779796,2.68609
94249.2,81885,-0.519623,-2.73232
73075.3,68752.4,-0.345992,0.544124
1.34124e+06,425695,-1.81394,2.98586
810149,196064,-2.09648,-0.135538
182697,93558.7,-1.28331,-0.13333
1.3775e+06,779472,1.1684,2.17104
805141,802342,-0.0535974,1.46259
362941,84483.6,2.13604,1.64819
159586,81192,-1.29135,-1.12407
97123,63677.9,0.978899,-3.13106
713699,460294,0.999894,1.77415
137882,135641,0.135984,-1.81725
781506,641401,0.64319,-2.57061
106317,29973.9,1.9356,0.849605
655273,130788,-2.29393,2.51847
514887,128633,2.06379,2.50978
809368,119776,2.59763,-0.754961
52656.8,46587.9,0.492857,2.57456
810753,664404,0.643486,2.85741
620284,528558,0.578717,2.54102
397459,157663,1.57547,-1.06212
790161,241393,-1.85367,3.02926
913820,230269,-2.05504,2.16342
204256,143586,-0.885924,1.78052
120860,40645.5,1.75116,-0.234876
617104,568600,0.396773,1.64634
1.21066e+06,830392,0.922857,0.527455
881277,759154,-0.554105,-2.74817
1.18867e+06,1.11923e+06,0.34211,2.71465
1.20834e+06,342610,1.93194,-2.2514
114717,92834.8,-0.671457,-1.48707
81223.5,73074.2,-0.462661,2.99875
348544,49736.6,-2.6348,-0.741309
1.54378e+06,496281,1.79675,1.1437
1.2271e+06,182956,-2.59028,-2.34841
237883,72708.2,-1.85149,1.50093
803624,372150,-1.40039,2.33359
418242,190871,1.41646,0.924448
71147.9,69515.3,-0.0974479,3.06264
77841.8,62761,0.670112,1.26488
137445,48240.2,1.70564,-3.08444
1.89914e+06,358952,-2.34957,1.78423
562306,546790,0.17393,-0.948139
65698.6,39272.7,-1.08459,-0.415605
28555.8,24006.2,-0.548325,-1.0868
644315,439709,0.924161,-1.6033
531761,141429,-1.99738,1.67058
1.45239e+06,1.43078e+06,0.164157,1.4752
142319,134022,0.269322,-1.88154
871071,783879,-0.465998,-2.20685
721160,406541,1.17083,-0.180002
1.08126e+06,557746,1.27636,2.56702
906692,555630,-1.06071,-0.60387
518794,277778,-1.23249,0.156937
277486,70914.5,2.03995,-2.12498
457315,56550.2,-2.77923,2.43529
742078,620259,-0.607064,-2.75416
1.12225e+06,250949,2.17798,1.6912
205497,46155.2,-2.17327,2.45823
107280,38468.6,-1.68138,1.60074
42062.9,35049.1,-0.612288,1.61332
312273,200519,1.00571,3.10977
388995,184959,1.37168,-1.11839
211034,182030,0.548618,-1.7257
126099,121191,0.247977,-2.78757
829555,566996,0.928551,-1.70007
307473,157678,1.28386,1.366
78677.4,75785.1,0.0974145,0.754733
700954,624304,0.476003,0.669219
278067,222492,0.687704,1.25612
542985,218212,-1.55789,1.48275
763818,674948,-0.485288,1.65885
124688,37579.2,1.86329,-2.44925
1.27217e+06,529390,-1.52221,-1.75767
60045.7,46320.4,-0.74454,2.83557
847531,763560,0.395625,-0.963893
136737,85209.2,1.04378,-1.8847
583659,437421,0.791548,-2.90578
632288,179006,-1.93315,0.53888
694245,79187.6,2.86071,-1.0947
912758,758359,0.616824,-2.1805
530492,511012,-0.253154,-1.0258
1.12217e+06,83142.5,3.29417,0.119467
1.09625e+06,869402,-0.656956,1.35613
314328,143063,-1.41941,2.09819
71436,44797.5,-1.03933,0.642832
958586,774492,0.661204,-0.391387
719076,398330,1.19557,2.24129
257585,183316,0.864133,-1.14815
372809,97021.3,-2.02015,0.467931
61310.3,52411.7,-0.570172,0.780653
514992,426484,0.625103,-3.03773
193099,99265.3,-1.28452,-2.72641
84698.5,78746.2,0.298237,1.47857
720644,441416,-1.0703,0.78963
356750,230229,0.996747,-0.823379
1.50155e+06,576917,1.6096,0.0304621
1.2589e+06,576987,1.414,1.82891
77494.8,57057.6,0.816468,1.45792
663511,481686,-0.836247,1.68828
1.08213e+06,138672,2.74327,-0.0879247
1.05318e+06,106592,-2.98103,2.31612
743236,720473,-0.221758,0.0412553
89022.8,82058.9,0.363915,-0.397216
400002,394916,0.140905,2.83308
201656,147015,-0.822745,1.46057
440210,92925.6,-2.23601,-1.92565
85815,83467.5,0.0847097,1.12067
87610.7,82779.4,-0.310259,0.257268
47213,32043,0.928428,-0.110541
1.42579e+06,946041,-0.936248,-1.50131
511930,404514,-0.69421,1.76183
107911,58952.2,-1.21016,-0.62356
160858,31950.9,2.2984,-1.09453
1.04578e+06,1.00136e+06,0.113526,2.31388
157449,95221.1,-1.08344,-0.439874
71724,23682.3,-1.77118,0.0551395
393157,355025,-0.442513,1.42853
247866,142723,-1.13694,-1.34923
141155,75013.9,-1.23805,1.00746
136401,54860.9,-1.55606,-0.658239
241028,27481.8,-2.86096,-1.52758
860474,396347,-1.40878,0.939289
280970,251001,-0.36998,0.808889
296444,132044,-1.44663,-0.776665
89012.9,80842.4,-0.417692,-2.29956
182031,66444.2,1.66341,1.80835
804235,590662,0.821727,1.54488
62844,56358.8,-0.453443,-2.85753
350410,328441,-0.358206,2.85299
828273,319570,1.60406,0.903604
205734,195876,-0.288903,-1.2306
1.13926e+06,464199,-1.54592,-0.452485
321870,317920,0.0919778,2.59266
927659,857580,0.376618,-3.12277
496976,466962,-0.348429,0.487158
146979,143487,0.187021,-1.46617
480251,269206,-1.17402,-2.89632
150355,138131,0.366913,-1.54811
318407,110941,1.71458,0.797752
79316.9,73860.1,-0.373529,2.89368
40224.3,34744.2,-0.503056,0.196859
960403,944340,0.138736,0.132425
1.10865e+06,915539,-0.619885,1.9337
588459,446442,-0.771195,0.97843
386245,271677,-0.885762,-1.42288
609343,123276,-2.28013,-2.71277
695542,677966,0.0208605,0.420564
187987,182480,-0.203391,1.81314
213589,109637,-1.27727,0.174219
786439,442712,-1.16764,-2.4549
762664,734099,0.274915,-1.46624
348149,163612,1.38631,-0.725001
59036.1,45497.6,-0.74799,-1.1199
1.97325e+06,625706,-1.81533,1.81685
638536,349710,-1.20824,-2.49693
320141,259316,0.665653,-1.19748
141634,35700.9,2.05419,3.06925
755971,412904,-1.20855,-2.94375
224684,135457,1.08994,-1.2429
723907,648721,-0.45963,-0.959417
497181,494949,0.0599533,1.30864
621215,204064,1.77602,-0.892422
271459,156759,1.1298,0.8082
1.585e+06,628342,1.57569,3.06416
224155,218004,-0.188701,-1.27661
102996,55473.7,-1.22418,1.03259
2.18571e+06,526905,-2.10072,0.122373
698653,521078,-0.800429,2.32881
719632,304167,-1.50431,-1.28873
530027,152947,-1.91297,-0.412552
184774,141756,0.757483,1.74927
37042.1,36589.2,-0.0299839,2.1181
996440,951499,0.222663,0.0144178
470240,189977,-1.55183,2.60041
419994,180501,1.48669,-0.0119342
106239,76354.3,0.835581,0.463563
165206,71507.9,1.47479,1.86319
58302.7,49259.7,0.588697,1.79659
2.5788e+06,501449,-2.32108,-0.222398
285006,272768,0.213825,0.547885
430495,249770,-1.13571,1.9066
228538,174637,0.758501,0.0844944
430994,108130,2.05854,-1.23934
911970,893280,0.108591,1.89771
151343,146850,0.186198,0.974191
1.32628e+06,938813,-0.873928,1.52195
465533,56835.1,-2.79189,-1.05549
987647,626973,-1.01642,0.511359
239124,151421,1.02811,-1.65483
48394.8,40178.6,-0.62551,-0.617612
494536,303483,1.06237,2.71406
389961,128075,1.7778,2.44573
471802,109766,-2.1351,-0.961307
641243,633080,0.148253,1.64738
331351,105252,-1.81106,-1.79556
94556.6,70470.4,0.794827,2.2492
301898,54755.9,-2.39109,1.58314
162827,25721.9,2.53044,-0.0105304
327099,312658,-0.273002,0.268715
789437,304932,-1.60222,2.29508
506369,290614,-1.14599,-2.52241
297193,276663,0.324151,2.1384
248124,150321,1.08324,-1.75881
57122.9,56071.1,0.00105913,2.88401
299878,37449.6,2.76919,-0.54845
524272,425909,0.616189,0.693247
484537,421686,-0.536874,1.09097
128667,101946,-0.66721,-1.20197
72428.5,50518.8,0.894474,0.754118
2.34346e+06,870041,-1.64747,0.672419
635483,615362,-0.242423,2.59948
1.85455e+06,561047,1.86395,2.24851
107277,79445.2,0.781442,1.79259
927724,719316,0.742997,0.313524
350905,322265,0.402124,3.07323
651348,134866,-2.25658,0.853245
50604.3,49958.1,-0.124192,1.38551
313130,283111,-0.349263,1.96168
449428,217908,-1.35087,-1.55781
117886,111806,0.303766,2.4136
35057.5,27314,0.72154,1.30186
371490,356243,0.238813,-0.0732619
549385,519153,0.287343,2.86197
510916,115620,2.16585,0.774115
115335,55952.7,1.34536,2.67037
402780,392220,0.180475,-2.28152
292305,243135,-0.610306,-2.86758
397080,207970,1.25758,-3.06892
270582,120638,-1.44436,1.58594
541763,537323,-0.0679013,1.51254
1.41771e+06,477928,1.75036,-2.90661
538337,316444,1.12319,0.584504
389557,329478,0.571468,-2.38258
301633,278542,-0.36946,-1.09628
175802,146837,-0.602362,-0.323943
138493,125923,0.386588,-1.12321
201045,90396.4,1.43565,-2.12304
108066,57664.8,1.23748,-1.45572
468513,328591,-0.884254,2.85134
689591,307420,-1.44574,-2.84576
482282,222482,1.40704,1.02765
187104,175369,-0.327341,-2.3692
89741.6,76979.5,0.562445,1.22524
61123.3,39553.3,0.999795,0.490404
260397,26129.4,-2.98935,-2.47499
817855,746914,-0.402306,0.930303
958447,603416,1.03686,0.763274
449033,414757,0.397745,2.54619
69345.6,62637.6,-0.436013,0.969521
80926.8,37524.9,-1.39587,2.53349
530990,342479,0.977437,-0.431241
389612,193954,-1.32109,-0.411951
167645,112466,0.948638,1.35002
924594,433305,1.38593,-0.507909
83096.8,52340,1.02705,-1.10663
126040,44019.2,1.71217,-2.49921
36152,35456.8,0.172507,1.96236
549725,543823,-0.051139,-0.982833
474088,311471,0.97678,-0.153978
688502,252428,-1.65439,-0.744877
127329,45429.6,-1.6871,-1.43397
761640,693037,-0.439621,0.0890908
151465,68079,-1.43586,-1.78225
1.06832e+06,415841,-1.59471,2.03489
394686,305141,-0.739306,0.230393
36818.5,28987.1,-0.719458,1.79841
1.01557e+06,829056,0.658628,2.1919
788209,118666,2.5802,-1.03298
1.11549e+06,1.08279e+06,-0.241838,-2.45583
121174,116899,-0.140609,1.98086
2.10647e+06,1.63854e+06,0.737752,-0.708618
653099,584282,0.401505,2.04336
648431,569074,0.518549,2.85538
706624,410994,1.13206,2.13971
527259,178991,-1.74158,0.488133
456271,395814,-0.53947,2.62676
356089,231100,-0.984897,1.02358
121322,98361.1,0.628415,-1.64983
119374,45031.1,-1.62944,0.864957
813145,804689,0.0756072,2.68687
826529,359186,1.47448,-2.6867
558363,546790,0.044562,-1.58187
248429,127183,-1.28844,2.32324
480555,50343.5,-2.94621,1.47214
1.3575e+06,967043,0.86909,0.646068
277893,87311.1,-1.81694,-1.98452
46823.4,32234.5,-0.911391,-2.82904
1.34411e+06,1.23194e+06,0.419205,-0.954628
289981,289547,-0.0175986,2.18139
516889,280336,1.21901,-1.9875
337587,276362,-0.651393,-2.91337
50273.8,46507.3,-0.392433,0.330716
289913,282072,0.0899163,-0.00223548
184708,180914,-0.188,2.46039
262616,45429.4,2.43901,1.81055
55058.8,42580.4,0.746212,2.11286
131239,37089.4,-1.93091,2.30725
1.14929e+06,1.04941e+06,0.429226,-2.42495
388151,367096,0.0842426,-0.613954
215466,198468,0.40153,1.8525
59103.3,34845.2,-1.10348,2.38056
31822.6,31643.2,8.77875e-05,0.102325
466514,327947,0.883177,-1.4208
668179,555417,0.624794,-0.243675
743118,677603,-0.28857,-1.44278
831410,720730,0.543497,0.249507
121047,62251.2,-1.27595,1.30904
134730,41575.4,-1.8422,-0.867577
176752,38876.6,-2.19069,2.21844
311018,30323.5,3.01831,-0.957665
45757.2,28235.4,1.04489,-0.650583
1.04267e+06,1.01309e+06,0.14056,-0.910967
619853,389626,-1.0375,2.37015
139750,136652,0.204087,-0.0968337
987942,662497,-0.954239,-0.0732066
857862,506434,-1.11465,-2.76267
458681,443721,0.115391,2.61967
769596,110262,2.63085,-0.633562
1.0551e+06,680394,-1.00277,1.52097
844978,726012,-0.560918,-0.906429
370403,34858.9,3.05391,-0.8142
527045,425418,-0.673841,0.2846
447580,182113,-1.54252,-1.75938
290672,100693,-1.7207,1.62916
178015,64138.1,-1.67705,-2.40838
1.30905e+06,52000.9,-3.91849,2.35154
555438,489624,-0.435591,0.138328
269169,147273,1.20831,2.8668
129960,116119,0.446507,-1.18758
534933,516194,-0.208439,0.903941
127776,92395.3,0.848763,-2.34412
300665,46351.3,-2.5565,2.53142
89954.8,54657.7,1.07586,-1.00793
291870,254985,0.515322,-1.08918
239881,231245,0.22426,-1.95785
410377,202384,1.32949,-0.985221
225844,136511,1.08568,-0.0483719
230578,90882.8,-1.58178,0.121009
480688,422972,0.486014,-1.34828
335993,164116,1.33544,2.72841
105138,90909.1,-0.457165,-1.7567
1.79028e+06,724837,1.55332,-1.62868
537593,72537,2.69078,-2.02911
505500,45655.7,-3.09531,2.83617
37800.3,36273.7,-0.246714,2.24105
1.26297e+06,1.21024e+06,0.283504,1.78765
343580,329476,-0.250707,0.101772
298213,223381,0.777145,-0.340556
530069,157286,1.88442,-1.44007
182211,143126,0.65834,-2.56195
848777,833779,0.174323,1.90707
683404,547630,0.655547,2.62479
63220.1,43492.8,-0.913719,-1.08262
916745,582166,1.0236,0.59375
418887,355806,0.571834,3.0339
282763,218196,-0.712923,-3.00753
847450,828258,-0.164716,-2.90035
364861,351698,0.238334,-1.85414
606879,351292,1.1416,1.14027
415727,336391,-0.668846,0.30116
67759.9,60614.7,0.464181,-1.72919
100599,89001.9,-0.498468,2.57887
841564,797703,-0.201643,3.02601
254268,252592,-0.068575,-0.348359
197962,177342,-0.461623,2.19831
735985,714395,0.23048,-2.88067
299376,277508,-0.368967,-0.900049
219431,171069,-0.729004,0.893984
200366,110498,1.1975,-2.28745
226187,59175.4,2.01463,-0.955478
206338,49684.4,2.10109,-1.97136
261140,29176,-2.88113,-0.185705
682898,556421,-0.65396,0.143618
477631,75510.7,2.53107,2.31399
539008,512691,-0.308378,-0.0615504
414283,290122,0.892205,-2.491
713368,373398,-1.26218,1.69647
372153,317711,-0.555582,-1.92827
464860,198326,-1.49175,-1.98288
50644.4,49495.3,0.157517,-1.74506
118907,46072.9,-1.59627,-2.71047
716186,646538,0.450618,-0.139937
808603,500172,-1.05842,2.00324
619903,210709,-1.741,-1.47699
125480,73798.1,1.10586,-1.28694
47523.2,43276.1,-0.402706,-1.28015
666892,661301,0.0373756,-2.69734
425617,393137,-0.402622,-1.09089
627689,354652,-1.17113,2.8757
1.32763e+06,411292,1.83714,2.18618
344625,132913,-1.60105,0.874398
68586.1,49777.3,0.829482,-2.21343
137335,34571,2.05241,-1.81426
870961,730252,-0.59559,1.55213
837433,538475,1.00325,-0.653138
79550.5,42040.9,-1.25157,2.5554
644834,576788,0.464399,-0.414489
721708,657284,-0.424637,-1.22908
269528,195049,-0.842654,-1.93051
74223.5,29364.6,-1.57188,-2.44327
274207,247802,-0.444967,-1.56536
624835,212266,-1.74219,-2.47546
192115,174270,-0.443694,-2.19598
71225.1,43986.9,-1.05994,-2.69433
518015,453658,0.474419,-1.27756
165265,140025,-0.591389,0.600445
473034,82423.7,2.43178,-2.88625
536579,528730,0.163662,-2.76714
545978,533080,0.119437,-1.60229
268344,263360,0.14496,0.512454
354162,242023,-0.926818,0.403118
181918,97940.1,1.2192,-2.73951
135696,70666.4,1.26634,2.71563
93656.5,64510,0.904338,1.67684
107742,29552.4,1.96313,-0.738244
1.09313e+06,656144,-1.09605,0.255568
224138,173904,-0.734743,-2.56621
616966,605641,-0.187642,-1.15957
136332,120230,-0.501305,-2.64913
70986.5,38435.6,-1.22204,-1.06509
44001.5,26839.3,-1.0709,0.760149
964729,864367,-0.474157,1.50842
111965,44397.4,-1.56621,-0.934958
574865,471248,-0.643881,-0.395005
116945,82071.8,-0.889469,1.46207
991038,579067,1.10942,-2.13931
900326,234247,2.02024,1.9065
88961.1,85093.4,-0.226877,1.77872
69913.7,31503.4,1.43112,-1.47815
934066,700379,-0.785353,2.8486
1.12896e+06,702830,1.05073,-2.18475
618596,537663,-0.53988,1.29027
765600,581341,-0.773713,-2.50858
535541,286752,-1.22246,1.06296
125173,114324,0.425071,0.44072
1.02923e+06,940567,-0.425524,-0.298194
338728,328953,0.210813,-2.83412
93982.5,69577.1,-0.797952,0.640806
467884,33093.6,3.34061,-0.926029
46751.2,27292.2,-1.11939,-1.12181
1.32642e+06,1.30331e+06,0.17082,2.83716
1.87723e+06,687846,1.66117,0.407712
342718,121095,1.69718,-0.676144
784367,673904,0.556478,0.616655
105393,88326,0.605406,-2.09149
81528.2,65875.1,-0.663185,1.34208
1.47382e+06,1.34435e+06,-0.434966,-2.01145
519138,499972,0.271927,-3.05608
736734,87045.2,-2.82506,1.94837
284320,280215,0.0707551,-0.593875
234099,186920,-0.687638,2.10121
311991,185449,1.10462,0.170326
1.00129e+06,827139,-0.629996,-2.82004
237454,143607,-1.06982,2.84388
265524,95551.7,-1.67935,-1.08373
1.14074e+06,931257,-0.639659,0.463097
515361,44971,3.12994,-2.66745
254083,43144.7,2.45843,-2.91304
42497.5,38071.6,0.448341,1.76012
480239,416250,0.528429,-2.49607
138700,120506,0.519743,2.23286
1.35939e+06,73840.1,3.60525,-0.538866
1.00126e+06,42201.6,3.85925,-2.27226
322408,265901,-0.634857,-0.364733
337966,200551,-1.10792,-1.27239
659178,624676,0.311966,0.589697
277278,140199,1.29846,0.10052
1.42049e+06,678491,1.36727,-2.81125
178675,163664,0.420274,0.569234
191874,59474,-1.83714,-2.79022
53023.9,32236.3,1.07424,0.287728
402030,258261,-1.00835,1.2379
69889.5,52192.1,-0.796126,-0.865093
374291,50218.8,-2.69695,0.604393
133284,131938,-0.054775,0.852821
584215,532702,0.428171,2.73649
211575,121401,-1.15134,2.37445
1.08735e+06,1.08081e+06,-0.0931028,1.973
257971,97793.2,1.62125,-2.47369
45279.6,42994.4,-0.260699,-2.03477
565035,563710,0.0169263,-3.0425
346701,253963,0.818328,2.60503
297333,292225,0.110396,-0.253669
427622,222845,-1.26733,-2.97612
675539,48728.9,3.32104,-0.959104
44946.7,43859.8,-0.146407,0.78144
32914.5,32310.4,-0.1397,-1.04869
367990,146754,1.56721,0.00824006
196655,130521,-0.967173,-0.552138
648074,635801,-0.136184,3.09062
105001,39129.2,1.64181,0.126826
630978,629206,-0.0227206,0.680732
541104,134432,-2.06837,-2.69673
581662,101090,-2.43515,-0.821788
123766,74960.1,-1.07955,1.8237
46818.1,42727.3,-0.395987,-1.12685
985561,599123,1.08108,-1.51461
1.04933e+06,894276,0.578755,2.57507
509127,375397,-0.816068,-2.79935
180907,178792,-0.140102,-2.38658
1.61098e+06,1.12908e+06,0.892473,-2.66768
306526,288169,0.343546,0.443451
1.18537e+06,358834,1.86044,2.12427
366744,92008.2,2.05783,0.302516
119831,82296.5,0.915693,-0.323689
538151,56942.9,2.93587,0.910251
577500,557280,0.254488,2.00777
2.28337e+06,202322,3.11463,-2.51275
178262,153546,-0.556544,-1.19241
443771,76545.5,-2.44241,2.96843
419776,54225.1,-2.73495,-1.20542
557437,543536,0.221335,-1.97169
1.49361e+06,167954,2.87503,1.514
144318,27740.2,2.3327,2.2234
883872,849454,0.236155,0.892572
71755.9,56994.3,0.667482,2.33825
40353.7,31855.6,0.706268,1.6271
491842,384782,0.726682,2.29246
371199,346202,-0.184308,-0.606631
96912.6,94500.5,-0.199884,2.5679
94918.8,46515.7,-1.32636,2.54979
818057,810897,0.0661192,0.941271
925298,652490,-0.877914,1.74024
665932,645145,0.24967,-2.03051
424923,184699,1.47302,-0.966909
213710,92048,1.48335,0.0116707
519490,481912,-0.305553,-2.74677
808233,657134,0.632335,-2.2565
471901,464962,-0.148728,-0.391214
867756,333335,1.60937,-2.23312
198679,153955,0.737906,1.59426
366462,352799,-0.234221,-2.99691
1.37254e+06,1.22133e+06,-0.440712,-1.2122
304284,278855,-0.417333,0.991155
158315,134555,-0.579016,2.96472
95201.5,92058.5,-0.216686,-1.19701
430305,68186.3,2.52859,0.172081
48984.4,44405.8,-0.440394,-0.59538
1.73555e+06,929156,-1.23635,-0.943437
195399,169608,-0.534691,1.65735
144985,137486,-0.317858,2.34498
547745,533632,0.211187,2.35037
819373,59656.4,-3.31173,-3.1106
54251.5,42212.3,0.736874,-0.950752
722073,338553,-1.38943,-0.124645
362749,295283,0.654232,-0.609632
206528,200698,0.190684,0.9683
